mapid	extension	aspect
_ansgar_2021_01	png	16x16
_ansgar_2021_02	png	10x16
_ansgar_2021_03	png	16x16
aghaynes_2021_01	png	16x11
aghaynes_2021_02	png	12x16
aghaynes_2021_03	png	16x11
aghaynes_2021_04	png	16x13
Amit_Levinson_2020_01	png	16x13
Amit_Levinson_2020_02	png	9x16
Amit_Levinson_2020_03	png	12x16
Amit_Levinson_2020_07	png	16x16
Amit_Levinson_2020_08	png	12x16
Amit_Levinson_2020_20	png	10x16
Amit_Levinson_2021_01	png	14x16
Amit_Levinson_2021_02	png	16x12
Amit_Levinson_2021_03	png	16x14
Amit_Levinson_2021_04	png	16x14
Amit_Levinson_2021_05	png	16x10
Amit_Levinson_2021_07	png	13x16
CedScherer_2019_01	png	16x16
CedScherer_2019_03	png	16x11
CedScherer_2019_04	png	13x16
CedScherer_2019_05	png	16x14
CedScherer_2019_06	png	16x14
CedScherer_2019_07	png	16x14
CedScherer_2019_08	png	16x14
CedScherer_2019_09	png	16x14
CedScherer_2019_10_1	png	16x8
CedScherer_2019_10_2	png	16x8
CedScherer_2019_11	png	13x16
CedScherer_2019_12	png	16x14
CedScherer_2019_13	png	16x12
CedScherer_2019_14	png	16x10
CedScherer_2019_15	png	16x16
CedScherer_2019_16	png	16x11
CedScherer_2019_17_1	png	16x10
CedScherer_2019_17_2	png	16x10
CedScherer_2019_18	png	13x16
CedScherer_2019_19_1	png	16x8
CedScherer_2019_19_2	png	16x6
CedScherer_2019_20	png	16x14
CedScherer_2019_21	png	16x11
CedScherer_2019_22	png	16x15
CedScherer_2019_23	png	16x11
CedScherer_2019_24	png	15x16
CedScherer_2019_25	png	16x7
CedScherer_2019_26	png	16x9
CedScherer_2019_27	png	16x14
CedScherer_2019_29	png	16x10
CoulSim_2021_02	png	16x8
CoulSim_2021_03	png	13x16
Cramsuig_2021_07	png	16x16
dakvid_2021_02	png	14x16
dr_xeo_2021_05	jpg	15x16
geokaramanis_2021_01	png	16x16
geokaramanis_2021_02	png	16x13
geokaramanis_2021_03	png	16x13
geokaramanis_2021_04	png	13x16
geokaramanis_2021_05	png	12x16
geokaramanis_2021_06	png	16x16
geokaramanis_2021_07	png	16x16
geokaramanis_2021_08	png	16x16
gisertweets_2021_05	jpg	16x16
hrbrmstr_2019_01	jpg	16x14
hrbrmstr_2019_02	jpg	16x8
hrbrmstr_2019_03	jpg	9x16
hrbrmstr_2019_04	jpg	16x9
hrbrmstr_2019_05	jpg	16x14
hrbrmstr_2019_06	jpg	16x10
hrbrmstr_2019_08	jpg	10x16
hrbrmstr_2019_09	jpg	16x10
hrbrmstr_2019_10	jpg	10x16
hrbrmstr_2019_11	jpg	14x16
hrbrmstr_2019_12	jpg	16x16
hrbrmstr_2019_13	jpg	16x10
hrbrmstr_2019_14	jpg	16x11
hrbrmstr_2019_15	jpg	10x16
hrbrmstr_2019_16	jpg	16x12
hrbrmstr_2019_17	jpg	16x11
hrbrmstr_2019_18	jpg	16x16
hrbrmstr_2019_19	jpg	11x16
hrbrmstr_2019_20_1	png	16x13
hrbrmstr_2019_20_2	png	16x13
hrbrmstr_2019_20_3	png	16x10
hrbrmstr_2019_21	jpg	16x9
hrbrmstr_2019_22	jpg	10x16
hrbrmstr_2019_23	jpg	10x16
hrbrmstr_2019_24	jpg	16x12
hrbrmstr_2019_25	jpg	16x16
hrbrmstr_2019_26	jpg	10x16
hrbrmstr_2019_27	jpg	16x9
hrbrmstr_2019_28	jpg	13x16
hrbrmstr_2019_29	jpg	16x16
issa_madjid_2021_01	png	16x16
issa_madjid_2021_02	png	14x16
issa_madjid_2021_03	png	16x12
issa_madjid_2021_04	png	16x16
issa_madjid_2021_05	png	16x16
leeolney3_2021_01	jpg	16x10
leeolney3_2021_02	jpg	16x13
leeolney3_2021_03	jpg	16x7
leeolney3_2021_04	jpg	16x13
leeolney3_2021_05	jpg	15x16
leeolney3_2021_06	jpg	16x11
leeolney3_2021_07	jpg	14x16
leeolney3_2021_08	jpg	16x16
loreabad6_2021_01	png	14x16
loreabad6_2021_02	png	14x16
loreabad6_2021_03	png	14x16
loreabad6_2021_04	png	16x15
loreabad6_2021_05	png	16x12
loreabad6_2021_06	png	16x16
loreabad6_2021_07	png	16x16
loreabad6_2021_08	png	16x16
lxndrkp_2020_01	png	16x9
lxndrkp_2020_02	jpg	16x13
lxndrkp_2020_03	png	16x12
lxndrkp_2020_04	jpg	16x9
lxndrkp_2020_06	png	16x11
lxndrkp_2020_08	png	16x15
lxndrkp_2020_09	png	16x9
lxndrkp_2020_10	png	16x11
lxndrkp_2020_11	jpg	16x8
lxndrkp_2020_13	png	16x14
lxndrkp_2020_14	jpg	16x8
lxndrkp_2020_20	png	16x12
lxndrkp_2020_22	jpg	16x9
lxndrkp_2020_30	png	16x12
mattdray_2021_01	png	16x11
NearAndDistant_2021_01	png	14x16
NearAndDistant_2021_04	jpg	11x16
