mapid	Year	Day	date_posted	handle
_ansgar_2021_01	2021	01	2021-11-01 08:36:00	_ansgar
_ansgar_2021_02	2021	02	2021-11-02 20:15:00	_ansgar
_ansgar_2021_03	2021	03	2021-11-03 20:47:00	_ansgar
_ansgar_2021_04	2021	04	2021-11-04 22:22:00	_ansgar
_ansgar_2021_05	2021	05	2021-11-05 22:12:00	_ansgar
_ansgar_2021_06	2021	06	2021-11-06 17:23:00	_ansgar
_ansgar_2021_07	2021	07	2021-11-07 09:27:00	_ansgar
_ansgar_2021_08	2021	08	2021-11-08 19:58:00	_ansgar
_ansgar_2021_09_1	2021	09	2021-11-08 23:30:00	_ansgar
_ansgar_2021_09_2	2021	09	2021-11-09 20:01:00	_ansgar
_ansgar_2021_11	2021	11	2021-11-11 23:14:00	_ansgar
_ansgar_2021_12	2021	12	2021-11-12 19:42:00	_ansgar
_ansgar_2021_13	2021	13	2021-11-13 21:47:00	_ansgar
_ansgar_2021_16_1	2021	16	2021-11-16 22:42:00	_ansgar
_ansgar_2021_16_2	2021	16	2021-11-16 09:16:00	_ansgar
_ronycoelho_2021_11	2021	11	2021-11-09 23:07:00	_ronycoelho
aghaynes_2021_01	2021	01	2021-11-01 20:48:00	aghaynes
aghaynes_2021_02	2021	02	2021-11-02 21:10:00	aghaynes
aghaynes_2021_03	2021	03	2021-11-03 22:16:00	aghaynes
aghaynes_2021_04	2021	04	2021-11-04 14:27:00	aghaynes
Amit_Levinson_2020_01	2020	01	2020-11-01 15:26:00	Amit_Levinson
Amit_Levinson_2020_02	2020	02	2020-11-02 14:00:00	Amit_Levinson
Amit_Levinson_2020_03	2020	03	2020-11-03 21:10:00	Amit_Levinson
Amit_Levinson_2020_07	2020	07	2020-11-07 17:13:00	Amit_Levinson
Amit_Levinson_2020_08	2020	08	2020-11-08 05:45:00	Amit_Levinson
Amit_Levinson_2020_20	2020	20	2020-11-20 14:41:00	Amit_Levinson
Amit_Levinson_2021_01	2021	01	2021-11-01 18:52:00	Amit_Levinson
Amit_Levinson_2021_02	2021	02	2021-11-02 05:16:00	Amit_Levinson
Amit_Levinson_2021_03	2021	03	2021-11-03 05:17:00	Amit_Levinson
Amit_Levinson_2021_04	2021	04	2021-11-04 19:13:00	Amit_Levinson
Amit_Levinson_2021_05	2021	05	2021-11-05 19:07:00	Amit_Levinson
Amit_Levinson_2021_07	2021	07	2021-11-07 19:16:00	Amit_Levinson
Amit_Levinson_2021_08	2021	08	2021-11-08 20:03:00	Amit_Levinson
Amit_Levinson_2021_09	2021	09	2021-11-09 05:17:00	Amit_Levinson
Amit_Levinson_2021_10	2021	10	2021-11-10 05:18:00	Amit_Levinson
Amit_Levinson_2021_11	2021	11	2021-11-11 21:33:00	Amit_Levinson
Amit_Levinson_2021_13	2021	13	2021-11-13 16:15:00	Amit_Levinson
Amit_Levinson_2021_17	2021	17	2021-11-17 21:53:00	Amit_Levinson
Amit_Levinson_2021_20	2021	20	2021-11-20 17:04:00	Amit_Levinson
Amit_Levinson_2021_22	2021	22	2021-11-22 06:12:00	Amit_Levinson
Amit_Levinson_2021_25	2021	25	2021-11-25 18:54:00	Amit_Levinson
anelfering_2021_05	2021	05	2021-11-24 11:33:00	anelfering
BCalhoon7_2021_11	2021	11	2021-11-11 18:36:00	BCalhoon7
BjnNowak_2021_03	2021	03	2021-11-03 09:52:00	BjnNowak
BlaiseKe11y_2021_20	2021	20	2021-11-20 19:24:00	BlaiseKe11y
BlakeRobMills_2021_01	2021	01	2021-11-02 03:56:00	BlakeRobMills
BlakeRobMills_2021_02	2021	02	2021-11-03 00:22:00	BlakeRobMills
BlakeRobMills_2021_03	2021	03	2021-11-04 03:57:00	BlakeRobMills
BlakeRobMills_2021_04	2021	04	2021-11-05 01:53:00	BlakeRobMills
BlakeRobMills_2021_05	2021	05	2021-11-06 14:58:00	BlakeRobMills
BlakeRobMills_2021_06	2021	06	2021-11-07 20:56:00	BlakeRobMills
BlakeRobMills_2021_07	2021	07	2021-11-08 20:08:00	BlakeRobMills
BlakeRobMills_2021_09	2021	09	2021-11-10 12:43:00	BlakeRobMills
BlakeRobMills_2021_12	2021	12	2021-11-13 02:49:00	BlakeRobMills
BlakeRobMills_2021_13	2021	13	2021-11-13 21:51:00	BlakeRobMills
BlakeRobMills_2021_16	2021	16	2021-11-17 20:52:00	BlakeRobMills
BlakeRobMills_2021_20	2021	20	2021-11-21 03:34:00	BlakeRobMills
BlakeRobMills_2021_21	2021	21	2021-11-22 06:55:00	BlakeRobMills
BlakeRobMills_2021_22	2021	22	2021-11-23 05:26:00	BlakeRobMills
BlakeRobMills_2021_24	2021	24	2021-11-24 17:39:00	BlakeRobMills
CedScherer_2019_01	2019	01	2019-11-01 15:07:00	CedScherer
CedScherer_2019_03	2019	03	2019-11-03 22:22:00	CedScherer
CedScherer_2019_04	2019	04	2019-11-04 17:59:00	CedScherer
CedScherer_2019_05	2019	05	2019-11-05 22:31:00	CedScherer
CedScherer_2019_06	2019	06	2019-11-06 20:07:00	CedScherer
CedScherer_2019_07	2019	07	2019-11-09 18:12:00	CedScherer
CedScherer_2019_08	2019	08	2019-11-09 18:12:00	CedScherer
CedScherer_2019_09	2019	09	2019-11-09 18:12:00	CedScherer
CedScherer_2019_10_1	2019	10	2019-11-10 20:17:00	CedScherer
CedScherer_2019_10_2	2019	10	2019-11-10 20:17:00	CedScherer
CedScherer_2019_11	2019	11	2019-11-11 18:12:00	CedScherer
CedScherer_2019_12	2019	12	2019-11-12 18:44:00	CedScherer
CedScherer_2019_13	2019	13	2019-11-13 22:50:00	CedScherer
CedScherer_2019_14	2019	14	2019-11-14 18:51:00	CedScherer
CedScherer_2019_15	2019	15	2019-11-15 19:16:00	CedScherer
CedScherer_2019_16	2019	16	2019-11-17 14:29:00	CedScherer
CedScherer_2019_17_1	2019	17	2019-11-17 18:21:00	CedScherer
CedScherer_2019_17_2	2019	17	2019-11-17 18:47:00	CedScherer
CedScherer_2019_18	2019	18	2019-11-18 19:51:00	CedScherer
CedScherer_2019_19_1	2019	19	2019-11-19 19:17:00	CedScherer
CedScherer_2019_19_2	2019	19	2019-11-19 21:18:00	CedScherer
CedScherer_2019_20	2019	20	2019-11-20 22:32:00	CedScherer
CedScherer_2019_21	2019	21	2020-01-02 19:39:00	CedScherer
CedScherer_2019_22	2019	22	2019-11-24 19:11:00	CedScherer
CedScherer_2019_23	2019	23	2019-11-23 21:49:00	CedScherer
CedScherer_2019_24	2019	24	2019-11-24 14:59:00	CedScherer
CedScherer_2019_25	2019	25	2019-11-26 09:19:00	CedScherer
CedScherer_2019_26	2019	26	2019-12-01 11:48:00	CedScherer
CedScherer_2019_27	2019	27	2019-11-27 19:41:00	CedScherer
CedScherer_2019_29	2019	29	2019-12-02 10:38:00	CedScherer
ckauebraga_2021_01	2021	01	2021-11-11 20:35:00	ckauebraga
ckauebraga_2021_02	2021	02	2021-11-11 00:34:00	ckauebraga
CoulSim_2021_02	2021	02	2021-11-03 02:19:00	CoulSim
CoulSim_2021_03	2021	03	2021-11-04 02:49:00	CoulSim
CoulSim_2021_06	2021	06	2021-11-07 01:51:00	CoulSim
CoulSim_2021_08	2021	08	2021-11-09 14:04:00	CoulSim
CoulSim_2021_10	2021	10	2021-11-10 21:51:00	CoulSim
CoulSim_2021_11	2021	11	2021-11-11 16:11:00	CoulSim
CoulSim_2021_12	2021	12	2021-11-12 14:20:00	CoulSim
CoulSim_2021_22	2021	22	2021-11-23 13:46:00	CoulSim
CoulSim_2021_25	2021	25	2021-11-25 13:06:00	CoulSim
CoulSim_2021_26	2021	26	2021-11-26 18:13:00	CoulSim
CoulSim_2021_29	2021	29	2021-11-29 18:21:00	CoulSim
Cramsuig_2021_07	2021	07	2021-11-08 01:31:00	Cramsuig
Cramsuig_2021_08	2021	08	2021-11-09 01:33:00	Cramsuig
Cramsuig_2021_09	2021	09	2021-11-10 02:47:00	Cramsuig
Cramsuig_2021_10	2021	10	2021-11-11 01:40:00	Cramsuig
Cramsuig_2021_11	2021	11	2021-11-11 01:51:00	Cramsuig
dakvid_2019_14	2019	14	2019-11-16 03:50:25	dakvid
dakvid_2019_18	2019	18	2019-11-18 10:19:44	dakvid
dakvid_2020_04	2020	04	2020-11-07 19:09:46	dakvid
dakvid_2020_05	2020	05	2020-12-05 09:10:29	dakvid
dakvid_2020_06	2020	06	2020-12-05 09:10:30	dakvid
dakvid_2020_07	2020	07	2020-12-05 09:10:32	dakvid
dakvid_2020_08	2020	08	2020-12-05 09:10:33	dakvid
dakvid_2020_09	2020	09	2020-12-05 09:10:35	dakvid
dakvid_2020_15	2020	15	2020-12-05 20:22:42	dakvid
dakvid_2021_02	2021	02	2021-11-02 10:41:00	dakvid
dakvid_2021_03	2021	03	2021-11-06 17:52:00	dakvid
dakvid_2021_04	2021	04	2021-11-28 04:08:00	dakvid
dakvid_2021_05	2021	05	2021-12-02 10:59:00	dakvid
dakvid_2021_06	2021	06	2021-11-13 03:34:00	dakvid
dakvid_2021_07	2021	07	2021-11-21 08:42:00	dakvid
dakvid_2021_08	2021	08	2021-11-13 04:21:00	dakvid
dakvid_2021_09	2021	09	2021-11-24 10:56:00	dakvid
dakvid_2021_10	2021	10	2021-11-16 09:45:00	dakvid
dakvid_2021_11	2021	11	2021-11-18 00:41:00	dakvid
dakvid_2021_12	2021	12	2021-11-28 14:03:00	dakvid
dakvid_2021_13	2021	13	2021-11-25 08:00:00	dakvid
dakvid_2021_16	2021	16	2021-11-25 11:16:00	dakvid
dakvid_2021_20	2021	20	2021-11-30 17:32:00	dakvid
dakvid_2021_21	2021	21	2021-12-01 08:45:00	dakvid
dakvid_2021_23	2021	23	2021-12-02 10:59:30	dakvid
dakvid_2021_24	2021	24	2021-11-23 23:09:00	dakvid
dakvid_2021_25	2021	25	2021-11-24 23:15:00	dakvid
dakvid_2021_26	2021	26	2021-11-26 23:26:00	dakvid
dakvid_2021_27	2021	27	2021-11-28 02:25:00	dakvid
dakvid_2021_28	2021	28	2021-11-28 10:52:00	dakvid
dakvid_2021_29	2021	29	2021-11-28 17:06:00	dakvid
darwinanddavis_2020_01	2020	01	2020-11-02 10:53:00	darwinanddavis
darwinanddavis_2020_04	2020	04	2020-11-05 11:16:00	darwinanddavis
darwinanddavis_2020_06	2020	06	2020-11-06 13:49:00	darwinanddavis
darwinanddavis_2020_08	2020	08	2020-11-08 11:23:00	darwinanddavis
darwinanddavis_2020_09	2020	09	2020-11-09 14:56:00	darwinanddavis
darwinanddavis_2020_10	2020	10	2020-11-11 10:57:00	darwinanddavis
darwinanddavis_2020_11	2020	11	2020-11-12 07:13:00	darwinanddavis
darwinanddavis_2020_14	2020	14	2020-11-16 13:13:00	darwinanddavis
darwinanddavis_2020_16	2020	16	2020-11-18 20:59:00	darwinanddavis
darwinanddavis_2020_20	2020	20	2020-11-21 22:08:00	darwinanddavis
darwinanddavis_2020_23	2020	23	2020-11-25 16:00:00	darwinanddavis
darwinanddavis_2020_25	2020	25	2020-11-26 09:02:00	darwinanddavis
darwinanddavis_2020_30	2020	30	2020-11-30 08:37:00	darwinanddavis
darwinanddavis_2021_01	2021	01	2021-11-02 06:43:00	darwinanddavis
darwinanddavis_2021_04	2021	04	2021-12-02 07:08:00	darwinanddavis
darwinanddavis_2021_07	2021	07	2021-11-07 22:48:00	darwinanddavis
darwinanddavis_2021_11	2021	11	2021-11-13 07:47:00	darwinanddavis
darwinanddavis_2021_22	2021	22	2021-11-25 10:49:00	darwinanddavis
dr_xeo_2021_05	2021	05	2021-11-05 11:46:00	dr_xeo
elipousson_2021_03	2021	03	2021-11-03 20:45:00	elipousson
FGazzelloni_2021_01	2021	01	2021-11-03 00:46:00	FGazzelloni
FGazzelloni_2021_02	2021	02	2021-11-03 22:10:00	FGazzelloni
FGazzelloni_2021_03	2021	03	2021-11-04 19:02:00	FGazzelloni
FGazzelloni_2021_04	2021	04	2021-11-04 23:29:00	FGazzelloni
FGazzelloni_2021_05	2021	05	2021-11-06 23:42:00	FGazzelloni
FGazzelloni_2021_06	2021	06	2021-11-08 04:46:00	FGazzelloni
FGazzelloni_2021_07	2021	07	2021-11-08 05:17:00	FGazzelloni
FGazzelloni_2021_08	2021	08	2021-11-09 16:42:00	FGazzelloni
FGazzelloni_2021_09	2021	09	2021-11-09 22:51:00	FGazzelloni
FGazzelloni_2021_10	2021	10	2021-11-11 22:10:00	FGazzelloni
FGazzelloni_2021_11	2021	11	2021-11-11 22:54:00	FGazzelloni
FGazzelloni_2021_12	2021	12	2021-11-12 23:05:00	FGazzelloni
FGazzelloni_2021_13	2021	13	2021-11-14 11:55:00	FGazzelloni
geodatascience_2020_04	2020	04	2020-11-04 12:00:00	geodatascience
geodatascience_2021_11	2021	11	2021-11-11 12:00:00	geodatascience
geokaramanis_2021_01	2021	01	2021-11-01 18:18:00	geokaramanis
geokaramanis_2021_02	2021	02	2021-11-02 15:51:00	geokaramanis
geokaramanis_2021_03	2021	03	2021-11-03 14:20:00	geokaramanis
geokaramanis_2021_04	2021	04	2021-11-04 11:52:00	geokaramanis
geokaramanis_2021_05	2021	05	2021-11-05 14:25:00	geokaramanis
geokaramanis_2021_06	2021	06	2021-11-06 07:02:00	geokaramanis
geokaramanis_2021_07	2021	07	2021-11-07 15:04:00	geokaramanis
geokaramanis_2021_08	2021	08	2021-11-08 09:30:00	geokaramanis
gisertweets_2021_05	2021	05	2021-11-05 10:33:00	gisertweets
Hellville_2021_09	2021	09	2021-11-14 03:21:00	Hellville
hrbrmstr_2019_01	2019	01	2019-11-01 11:53:40	hrbrmstr
hrbrmstr_2019_02	2019	02	2019-11-02 12:16:10	hrbrmstr
hrbrmstr_2019_03	2019	03	2019-11-03 14:42:42	hrbrmstr
hrbrmstr_2019_04	2019	04	2019-11-04 13:22:53	hrbrmstr
hrbrmstr_2019_05	2019	05	2019-11-05 13:45:26	hrbrmstr
hrbrmstr_2019_06	2019	06	2019-11-07 01:58:07	hrbrmstr
hrbrmstr_2019_08	2019	08	2019-11-09 15:04:12	hrbrmstr
hrbrmstr_2019_09	2019	09	2019-11-09 21:16:34	hrbrmstr
hrbrmstr_2019_10	2019	10	2019-11-10 09:59:40	hrbrmstr
hrbrmstr_2019_11	2019	11	2019-11-10 21:44:59	hrbrmstr
hrbrmstr_2019_12	2019	12	2019-11-11 14:44:52	hrbrmstr
hrbrmstr_2019_13	2019	13	2019-11-13 12:54:46	hrbrmstr
hrbrmstr_2019_14	2019	14	2019-11-15 13:05:11	hrbrmstr
hrbrmstr_2019_15	2019	15	2019-11-16 18:06:09	hrbrmstr
hrbrmstr_2019_16	2019	16	2019-11-17 16:10:04	hrbrmstr
