mapid	packages
_ansgar_2021_01	tidyverse,ggplot2,ggtext,colorspace,sf,osmdata,geojsonsf,jsonlite
_ansgar_2021_02	tidyverse,ggplot2,ggtext,colorspace,sf,osmdata,paletteer,rvest,rnaturalearth,stars
_ansgar_2021_03	tidyverse,ggplot2,ggtext,colorspace,sf,osmdata,paletteer,rvest,jsonlite,cowplot
aghaynes_2021_01	tidyverse,ggplot2,sf
aghaynes_2021_02	tidyverse,ggplot2,sf,janitor,showtext
aghaynes_2021_03	tidyverse,sf,stars
aghaynes_2021_04	sf,tidyverse,showtext,usmap,ggplot2
Amit_Levinson_2020_01	ggplot2,tidyverse,maps,cowplot,ggforce,extrafont,emoGG
Amit_Levinson_2020_02	tidyverse,osmdata,sf,extrafont,pdftools
Amit_Levinson_2020_03	ggplot2,tidyverse,sf,ggrepel,jsonlite,httr,extrafont,ggtext
Amit_Levinson_2020_07	tidyverse,ggplot2,osmdata,sf,pdftools,ggtext,extrafont
Amit_Levinson_2020_08	snapbox,sf,ggplot2,tidyverse,extrafont
Amit_Levinson_2020_20	tidyverse,sf,ggplot2,sp,cartogram,gganimate,tweenr,broom,extrafont
Amit_Levinson_2021_01	sf,ggplot2,geojsonio,ggmap,tidyverse,RColorBrewer
Amit_Levinson_2021_02	sf,tidyverse,osrm,stplanr,leaflet,htmltools,htmlwidgets,webshot
Amit_Levinson_2021_03	sf,janitor,ggplot2,units,ggvoronoi,tidyverse,ggtext
CoulSim_2021_02	tidyverse,sf,ggplot2,rnaturalearth,ggmap,ggtext
CoulSim_2021_03	tidyverse,sf,ggplot2,mapview,rmapshaper,ggtext,rcartocolour,wesanderson,rnaturalearth,colorspace,polylabelr
dakvid_2021_02	stringr,tidyverse,sf,osmdata,ggplot2,cowplot,ggtext
dr_xeo_2021_05	tidyverse,plotwidgets,terra,raster,sf,ggplot2,ggshadow,ggspatial,ggnewscale,janitor,rnaturalearth
gisertweets_2021_05	leaflet
hrbrmstr_2019_01	sf,rgeocodio,albersusa,ggplot2,hrbrthemes,googlesheets4,ggthemes,tidyverse
